RegNo,FullName,Email,Dept,Year,Status,AssignedTeamID,CreatedAt
REG001,John Doe,john.doe@uni.edu,CS,3,Available,,2024-01-01T00:00:00Z
REG002,Jane Smith,jane.smith@uni.edu,CS,3,Available,,2024-01-01T00:00:00Z
REG003,Bob Johnson,bob.johnson@uni.edu,CS,3,Assigned,team-123,2024-01-01T00:00:00Z
REG004,Alice Brown,alice.brown@uni.edu,IT,2,Available,,2024-01-01T00:00:00Z
REG005,Charlie Wilson,charlie.wilson@uni.edu,IT,2,Available,,2024-01-01T00:00:00Z
REG006,Diana Davis,diana.davis@uni.edu,ECE,4,Available,,2024-01-01T00:00:00Z
REG007,Eve Miller,eve.miller@uni.edu,ECE,4,Available,,2024-01-01T00:00:00Z
REG008,Frank Garcia,frank.garcia@uni.edu,MECH,1,Available,,2024-01-01T00:00:00Z
REG009,Grace Lee,grace.lee@uni.edu,MECH,1,Available,,2024-01-01T00:00:00Z
REG010,Henry Taylor,henry.taylor@uni.edu,CS,2,Available,,2024-01-01T00:00:00Z
